restaurant,item,food_type,meat,addition,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad
Mcdonalds,Artisan Grilled Chicken Sandwich,sandwich,chicken,none,380,60,7,2,0,95,1110,44,3,11,37,4,20,20,Other
Mcdonalds,Single Bacon Smokehouse Burger,burger,beef,bacon,840,410,45,17,1.5,130,1580,62,2,18,46,6,20,20,Other
Mcdonalds,Double Bacon Smokehouse Burger,burger,beef,bacon,1130,600,67,27,3,220,1920,63,3,18,70,10,20,50,Other
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,sandwich,chicken,bacon,750,280,31,10,0.5,155,1940,62,2,18,55,6,25,20,Other
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,sandwich,chicken,bacon,920,410,45,12,0.5,120,1980,81,4,18,46,6,20,20,Other
Mcdonalds,Big Mac,burger,beef,none,540,250,28,10,1,80,950,46,3,9,25,10,2,15,Other
Mcdonalds,Cheeseburger,cheeseburger,beef,none,300,100,12,5,0.5,40,680,33,2,7,15,10,2,10,Other
Mcdonalds,Classic Chicken Sandwich,sandwich,chicken,none,510,210,24,4,0,65,1040,49,3,6,25,0,4,2,Other
Mcdonalds,Double Cheeseburger,cheeseburger,beef,double,430,190,21,11,1,85,1040,35,2,7,25,20,4,15,Other
Mcdonalds,Double Quarter Pounder® with Cheese,cheeseburger,beef,double,770,400,45,21,2.5,175,1290,42,3,10,51,20,6,20,Other
Mcdonalds,Filet-O-Fish®,other,fish,none,380,170,18,4,0,40,640,38,2,5,15,2,0,15,Other
Mcdonalds,Garlic White Cheddar Burger,cheeseburger,beef,none,620,300,34,13,1.5,95,790,48,3,11,32,10,10,35,Other
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,sandwich,chicken,none,530,180,20,7,0,125,1150,48,3,11,42,10,20,35,Other
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,sandwich,chicken,none,700,300,34,9,0,85,1190,67,5,11,33,10,15,35,Other
Mcdonalds,Hamburger,burger,beef,none,250,70,8,3,0,30,480,31,2,6,13,2,2,4,Other
Mcdonalds,Lobster Roll,other,fish,none,290,50,5,1.5,0,65,630,35,2,3,24,4,6,15,Other
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,burger,beef,bacon,640,330,36,14,1.5,110,1260,40,3,10,37,6,15,15,Other
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,sandwich,chicken,bacon,580,190,21,8,0,135,1890,50,3,14,48,4,30,30,Other
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,sandwich,chicken,bacon,740,310,35,9,0.5,95,1780,69,5,14,39,4,20,290,Other
Mcdonalds,McChicken,sandwich,chicken,none,350,130,15,3.5,0,40,600,40,2,5,15,2,2,4,Other
Mcdonalds,McDouble,burger,beef,double,380,160,18,8,1,70,840,34,2,7,23,10,2,10,Other
Mcdonalds,McRib,other,beef,none,480,200,22,7,0,80,870,45,2,12,25,2,2,6,Other
Mcdonalds,Pico Guacamole 1/4 lb Burger,burger,beef,none,580,300,33,12,1.5,95,920,41,4,7,29,8,15,15,Other
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,sandwich,chicken,none,520,160,18,6,0,115,1540,50,4,12,40,8,25,30,Other
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,sandwich,chicken,none,680,280,32,7,0,80,1430,69,6,12,31,8,15,30,Other
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,sandwich,chicken,none,570,200,23,5,0,60,1050,64,4,11,28,4,10,20,Other
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,sandwich,chicken,none,530,200,22,4,0,45,1000,59,3,13,25,6,10,20,Other
Mcdonalds,Quarter Pounder® with Cheese,cheeseburger,beef,none,530,240,27,13,1.5,100,1090,41,3,10,31,20,6,15,Other
Mcdonalds,Signature Sriracha Burger,burger,beef,none,670,320,35,12,1.5,95,1010,56,4,13,32,20,15,30,Other
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,sandwich,chicken,none,560,180,20,5,0,115,1550,56,4,14,41,20,25,30,Other
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,sandwich,chicken,none,730,300,33,7,0,80,1430,75,5,13,32,20,20,30,Other
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,burger,beef,none,690,340,37,14,1.5,110,1310,51,3,14,38,6,15,15,Other
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,sandwich,chicken,bacon,630,200,22,7,0,135,1930,61,4,18,48,4,30,25,Other
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,sandwich,chicken,bacon,800,320,36,9,0.5,95,1820,80,5,18,39,4,20,30,Other
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,tenders,chicken,none,370,190,21,3.5,0,70,910,16,0,0,28,0,0,2,Other
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,tenders,chicken,none,480,250,28,4.5,0,95,1290,21,0,1,38,0,0,2,Other
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,tenders,chicken,none,760,390,44,8,0.5,145,1890,32,1,1,58,0,0,2,Other
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,tenders,chicken,none,1210,630,70,12,1,240,3230,52,1,4,94,0,0,4,Other
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,tenders,chicken,none,1510,790,88,15,1,295,3770,64,1,2,115,0,2,6,Other
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,tenders,chicken,none,2430,1270,141,24,2,475,6080,103,2,3,186,0,2,8,Other
Mcdonalds,4 Piece Chicken McNuggets,nuggets,chicken,none,180,100,11,2,0,30,340,11,1,0,10,0,2,0,Other
Mcdonalds,6 Piece Chicken McNuggets,nuggets,chicken,none,270,140,16,2.5,0,45,510,16,1,0,15,0,2,0,Other
Mcdonalds,10 Piece Chicken McNuggets,nuggets,chicken,none,440,240,27,4.5,0,75,840,26,2,0,24,0,4,2,Other
Mcdonalds,20 Piece Chicken McNuggets,nuggets,chicken,none,890,480,53,9,0,145,1680,53,4,0,49,0,8,4,Other
Mcdonalds,40 piece Chicken McNuggets,nuggets,chicken,none,1770,960,107,18,0.5,295,3370,105,7,1,98,0,15,6,Other
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,tenders,chicken,none,640,240,27,4,0,105,1780,63,2,35,39,4,15,4,Other
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,tenders,chicken,none,960,360,40,6,0,160,2670,94,3,52,58,4,25,8,Other
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,tenders,chicken,none,1600,600,66,10,0,265,4450,156,5,87,97,8,40,10,Other
Mcdonalds,Premium Asian Salad w/o Chicken,salad,salad,none,140,70,7,0.5,0,0,20,13,5,7,7,180,45,10,Other
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,salad,salad,chicken,270,80,9,1,0,80,740,18,5,10,31,180,70,10,Other
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,salad,salad,chicken,490,250,28,8,0,95,1120,28,4,4,33,180,60,15,Other
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,salad,salad,none,190,110,12,5,0,40,660,9,3,3,14,180,50,15,Other
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,salad,salad,chicken,320,120,14,6,0,45,1230,9,3,4,42,180,60,15,Other
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,salad,salad,chicken,490,250,28,8,0,95,1120,28,4,4,33,180,60,15,Other
Mcdonalds,Premium Southwest Salad w/o Chicken,salad,salad,none,220,90,10,3.5,0,15,500,26,6,9,8,180,40,20,Other
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,salad,salad,chicken,350,100,12,4.5,0,110,1070,27,6,9,37,180,50,20,Other
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,salad,salad,chicken,520,230,25,6,0,75,960,46,8,9,28,180,40,20,Other
Chick Fil-A,Chargrilled Chicken Club Sandwich,sandwich,chicken,none,430,144,16,8,0,85,1120,37,3,7,37,30,40,25,Other
Chick Fil-A,Chargrilled Chicken Sandwich,sandwich,chicken,none,310,54,6,2,0,55,820,36,3,7,29,25,40,10,Other
Chick Fil-A,Chick-n-Slider,other,chicken,none,270,99,11,2.5,0,45,800,26,1,4,16,NA,0,2,Other
Chick Fil-A,1 Piece Chick-n-Strips,tenders,chicken,none,120,54,6,3,0,25,320,6,0,1,11,0,0,2,Other
Chick Fil-A,2 Piece Chick-n-Strips,tenders,chicken,none,230,108,12,3,0,55,630,13,1,1,22,0,2,4,Other
Chick Fil-A,3 Piece Chick-n-Strips,tenders,chicken,none,350,153,17,3,0,70,940,22,1,3,28,2,2,6,Other
Chick Fil-A,4 piece Chick-n-Strips,tenders,chicken,none,470,207,23,3,0,90,1250,29,1,4,37,2,4,8,Other
Chick Fil-A,Chicken Deluxe,sandwich,chicken,none,500,207,23,7,0,75,1590,42,3,6,31,30,10,20,Other
Chick Fil-A,4 piece Chicken Nuggets,nuggets,chicken,none,130,54,6,1.5,0,40,490,5,1,0,14,0,2,2,Other
Chick Fil-A,6 piece Chicken Nuggets,nuggets,chicken,none,190,81,9,1.5,0,55,730,7,1,0,21,0,4,2,Other
Chick Fil-A,8 piece Chicken Nuggets,nuggets,chicken,none,260,110,12,3,0,70,990,9,1,1,28,0,2,4,Other
Chick Fil-A,12 piece Chicken Nuggets,nuggets,chicken,none,390,162,18,1.5,0,115,1460,14,2,1,41,0,8,4,Other
Chick Fil-A,30 piece Chicken Nuggets,nuggets,chicken,none,970,414,46,2.5,0,285,3660,35,4,1,103,NA,20,10,Other
Chick Fil-A,Chicken Salad Sandwich,sandwich,chicken,none,490,170,19,3,0,80,1130,55,5,12,28,35,8,15,Other
Chick Fil-A,Chicken Sandwich,sandwich,chicken,none,440,171,19,4,0,60,1350,40,2,5,28,2,4,15,Other
Chick Fil-A,4 Piece Grilled Chicken Nuggets,nuggets,chicken,none,70,18,2,1,0,35,220,1,0,0,13,0,6,0,Other
Chick Fil-A,6 Piece Grilled Chicken Nuggets,nuggets,chicken,none,110,27,3,1,0,50,330,2,0,0,19,0,8,0,Other
Chick Fil-A,8 piece Grilled Chicken Nuggets,nuggets,chicken,none,140,36,4,1,0,70,440,2,0,0,25,0,10,2,Other
Chick Fil-A,12 Piece Grilled Chicken Nuggets,nuggets,chicken,none,210,45,5,1,0,100,670,3,0,1,38,0,20,2,Other
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,sandwich,chicken,none,430,108,12,4.5,0,85,1310,47,5,9,33,NA,25,25,Other
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,sandwich,chicken,none,450,117,13,6,0,75,1000,48,4,10,34,NA,50,25,Other
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,sandwich,chicken,bacon,500,162,18,0,0,95,1200,46,2,10,33,45,40,20,Other
Chick Fil-A,Spicy Chicken Sandwich,sandwich,chicken,none,450,171,19,4,0,60,1620,41,1,5,29,4,2,15,Other
Chick Fil-A,Spicy Deluxe,sandwich,chicken,none,540,225,25,8,0,80,1760,43,2,6,34,30,10,30,Other
Chick Fil-A,Chargrilled Chicken Cool Wrap,other,chicken,none,350,126,14,5,0,60,960,29,15,3,37,60,35,35,Other
Chick Fil-A,Chicken Enchiladas Meal Kit,other,chicken,none,860,423,47,16,1,100,2520,70,NA,8,39,NA,NA,NA,Other
Chick Fil-A,Chicken Parmesan Meal Kit,other,chicken,none,720,279,31,15,0,120,1780,65,NA,7,48,NA,NA,NA,Other
Sonic,Hatch Green Chile Cheeseburger,cheeseburger,beef,none,710,380,43,17,2,120,1120,44,2,7,35,10,25,30,Other
Sonic,Jalapeno Burger,burger,beef,none,640,330,37,14,2,100,930,42,2,6,31,4,2,20,Other
Sonic,Jr. Burger,burger,beef,none,340,150,17,6,1,35,640,34,1,6,15,2,4,6,Other
Sonic,Jr. Chili Cheeseburger,cheeseburger,beef,none,410,220,24,9,0.5,55,730,32,1,4,20,7,1,15,Other
Sonic,Jr. Deluxe Burger,burger,beef,none,380,200,23,6,1,40,470,32,1,4,15,2,4,6,Other
Sonic,Jr. Deluxe Cheeseburger,cheeseburger,beef,none,450,250,28,9,1,60,800,33,1,4,19,6,4,15,Other
Sonic,Jr. Double Cheeseburger,cheeseburger,beef,double,600,350,38,16,2,110,1350,35,1,7,31,15,4,25,Other
Sonic,Sonic Bacon Cheeseburger (w/mayo),cheeseburger,beef,bacon,870,530,59,20,2,140,1350,45,2,7,39,10,8,30,Other
Sonic,Sonic Burger W/ Mustard,burger,beef,none,640,330,37,14,2,100,790,43,2,7,31,6,8,20,Other
Sonic,Sonic Burger W/ Ketchup,burger,beef,none,650,340,37,14,2,100,860,46,2,10,32,8,10,20,Other
Sonic,Sonic Burger W/ Mayonnaise,burger,beef,none,740,430,48,15,2,110,760,44,2,7,31,6,8,20,Other
Sonic,Sonic Cheeseburger W/ Mustard,cheeseburger,beef,none,710,380,43,17,2,120,1120,43,2,7,35,10,8,30,Other
Sonic,Sonic Cheeseburger W/ Ketchup,cheeseburger,beef,none,720,380,43,17,2,120,1190,47,2,10,35,15,10,30,Other
Sonic,Sonic Cheeseburger W/ Mayonnaise,cheeseburger,beef,none,800,480,54,18,2,130,1090,44,2,7,35,10,8,30,Other
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),cheeseburger,beef,double,1280,830,92,36,4,260,1630,44,2,7,67,15,6,40,Other
Sonic,Super Sonic Double Cheeseburger W/ Mustard,cheeseburger,beef,double,1120,680,76,32,4,235,1550,44,2,8,63,15,8,40,Other
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,cheeseburger,beef,double,1130,680,76,32,4,235,1620,47,2,11,63,20,10,40,Other
Sonic,Super Sonic Double Cheeseburger W/ Mayo,cheeseburger,beef,double,1220,780,87,34,4,245,1520,45,2,8,63,15,8,40,Other
Sonic,Super Sonic Jalapeno Double Cheeseburger,cheeseburger,beef,double,1120,680,76,32,4,235,1690,43,2,7,63,15,2,40,Other
Sonic,Veggie Burger W/ Ketchup,burger,veggie,none,450,130,14,4,0,10,1410,67,5,11,15,6,8,25,Other
Sonic,Veggie Burger With Mustard,burger,veggie,none,450,130,14,4,0,10,1350,64,5,8,15,6,8,27,Other
Sonic,Veggie Burger W/ Mustard,burger,veggie,none,450,130,14,4,0,10,1300,64,5,8,15,6,8,25,Other
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,sandwich,chicken,none,610,270,30,7,0,110,1570,44,3,8,40,11,20,16,Other
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,sandwich,chicken,none,680,350,39,9,0,80,1120,53,4,7,31,11,7,16,Other
Sonic,Grilled Chicken Sandwich,sandwich,chicken,none,430,180,20,4,0,80,940,33,2,6,28,6,8,10,Other
Sonic,Crispy Chicken Sandwich,sandwich,chicken,none,570,300,33,5,0,45,1060,47,4,6,23,6,8,10,Other
Sonic,Chicken Strip Sandwich,sandwich,chicken,none,450,220,24,4,0,35,740,43,1,4,19,0,0,4,Other
Sonic,3 Piece Crispy Chicken Tender Dinner,tenders,chicken,none,280,130,14,2.5,0,0,800,16,0,0,22,NA,NA,NA,Other
Sonic,5 Piece Crispy Chicken Tender Dinner,tenders,chicken,none,470,220,24,4.5,0,0,1340,26,0,0,37,NA,NA,NA,Other
Sonic,Deluxe Ultimate Chicken Sandwich,sandwich,chicken,none,740,350,39,8,0,90,1550,63,4,12,33,10,8,15,Other
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,sandwich,chicken,none,1000,550,61,12,0.5,125,4520,70,5,12,23,NA,NA,NA,Other
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,sandwich,chicken,none,1350,900,100,17,0,190,2180,69,4,10,23,NA,NA,NA,Other
Sonic,Small Jumbo Popcorn Chicken,nuggets,chicken,none,380,190,22,4,0,45,1250,27,3,1,18,0,0,2,Other
Sonic,Large Jumbo Popcorn Chicken,nuggets,chicken,none,560,290,32,6,1,65,1890,41,5,2,27,0,0,4,Other
Sonic,Small Spicy Jumbo Popcorn Chicken,nuggets,chicken,none,350,150,17,3,0,45,860,30,2,0,21,10,0,2,Other
Sonic,Large Spicy Jumbo Popcorn Chicken,nuggets,chicken,none,610,270,30,5,0,80,1500,51,3,0,36,17,0,3,Other
Sonic,3 Piece Super Crunch Chicken Strip Dinner,tenders,chicken,none,970,410,46,8,1,55,2160,109,7,9,30,1,6,13,Other
Sonic,4 Piece Super Crunch Chicken Strip Dinner,tenders,chicken,none,1080,460,51,9,1,75,2390,118,8,9,37,1,7,13,Other
Sonic,5 Piece Super Crunch Chicken Strip Dinner,tenders,chicken,none,1190,510,57,10,1,90,2610,126,8,9,44,2,8,14,Other
Sonic,3 Piece Super Crunch Chicken Strips,tenders,chicken,none,330,140,16,3,0,55,670,25,2,0,22,1,2,1,Other
Sonic,4 Piece Super Crunch Chicken Strips,tenders,chicken,none,440,190,21,4,0,70,900,34,2,1,29,1,2,1,Other
Sonic,5 Piece Super Crunch Chicken Strips,tenders,chicken,none,550,240,26,5,0,90,1120,42,3,1,36,1,3,2,Other
Sonic,Traditional Ultimate Chicken Sandwich,sandwich,chicken,none,730,350,39,8,0,90,1540,62,3,11,32,4,2,15,Other
Sonic,Ultimate Chicken Club,sandwich,chicken,none,100,580,64,15,0.5,100,2070,65,4,12,39,15,8,30,Other
Sonic,All Beef All-american Style Dog,hotdog,beef,none,370,160,18,7,0,40,1180,40,1,15,12,2,4,8,Other
Sonic,All Beef Chicago Dog,hotdog,beef,none,430,180,20,7,0,40,2310,49,1,17,14,4,6,10,Other
Sonic,All Beef Chili Cheese Coney,hotdog,beef,none,410,230,26,11,0,65,1140,30,2,4,17,10,2,20,Other
Sonic,All Beef New York Dog,hotdog,beef,none,340,170,19,7,0,40,1250,30,3,4,13,2,10,8,Other
Sonic,All Beef Regular Hot Dog,hotdog,beef,none,320,160,18,7,0,40,870,27,1,3,11,0,2,8,Other
Sonic,Cheesy Bacon Pretzel Dog,hotdog,beef,bacon,500,240,26,10,0,50,1410,46,2,7,15,1,3,8,Other
Sonic,Corn Dog,other,other,none,210,100,11,4,0,20,530,23,2,4,6,0,0,4,Other
Sonic,Footlong Quarter Pound Coney,hotdog,beef,none,830,490,54,22,1,85,1940,54,3,9,30,15,4,30,Other
Sonic,The Original Pretzel Dog,hotdog,beef,none,320,160,18,7,0,35,910,27,1,2,11,0,0,4,Other
Arbys,Arby's Melt,sandwich,beef,none,330,100,11,4,0,30,920,40,2,5,18,2,0,8,Other
Arbys,Arby-Q Sandwich,sandwich,beef,none,400,90,10,3,0,30,1230,58,3,23,18,4,10,10,Other
Arbys,Beef 'n Cheddar Classic,sandwich,beef,none,450,180,20,6,1,50,1280,45,2,9,23,2,2,15,Other
Arbys,Beef 'n Cheddar Mid,sandwich,beef,none,630,290,32,11,1.5,100,2100,48,2,9,39,2,2,15,Other
Arbys,Bourbon BBQ Brisket Sandwich,sandwich,beef,none,650,300,33,12,1,105,1460,51,2,15,38,NA,NA,NA,Other
Arbys,Bourbon BBQ Chicken Sandwich,sandwich,beef,none,690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA,Other
Arbys,Bourbon BBQ Steak Sandwich,sandwich,beef,none,690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA,Other
Arbys,Buttermilk Buffalo Chicken Sandwich,sandwich,chicken,none,540,220,24,4.5,0,60,2110,53,2,6,29,NA,NA,NA,Other
Arbys,Buttermilk Chicken Bacon & Swiss,sandwich,chicken,bacon,650,280,31,9,0,90,1750,56,2,9,39,NA,NA,NA,Other
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,sandwich,chicken,none,690,310,35,10,0,110,2000,53,1,7,41,NA,NA,NA,Other
Arbys,Buttermilk Crispy Chicken Sandwich,sandwich,chicken,none,550,230,26,4.5,0,60,1480,52,2,6,29,NA,NA,NA,Other
Arbys,Classic French Dip & Swiss/Au Jus,sandwich,beef,none,540,210,23,11,1,85,2500,50,2,3,35,2,8,15,Other
Arbys,Classic Roast Beef,sandwich,beef,none,360,120,14,5,0.5,50,970,37,2,5,23,0,0,6,Other
Arbys,Double Roast Beef,sandwich,beef,none,510,210,24,9,1.5,95,1610,38,2,5,38,0,0,6,Other
Arbys,Fire-Roasted Philly Steak,sandwich,beef,none,640,290,32,11,0.5,105,1950,46,3,4,42,NA,NA,NA,Other
Arbys,Grand Turkey Club,sandwich,turkey,none,480,220,24,7,0,65,1610,37,2,9,30,15,10,15,Other
Arbys,Greek Gyro,other,other,none,710,390,44,13,0,75,1360,55,4,6,23,NA,NA,NA,Other
Arbys,Half Pound Beef 'n Cheddar Sandwich,sandwich,beef,none,740,350,39,14,2,130,2530,48,2,9,49,NA,NA,NA,Other
Arbys,Half Pound French Dip & Swiss,sandwich,beef,none,750,330,36,17,2,150,3350,51,2,3,55,NA,NA,NA,Other
Arbys,Half Pound Roast Beef Sandwich,sandwich,beef,none,610,270,30,12,2,130,2040,38,2,5,48,NA,NA,NA,Other
Arbys,Ham & Swiss Melt,sandwich,pork,none,300,80,9,4,0,35,1030,37,2,6,18,2,0,15,Other
Arbys,Loaded Italian Sandwich,sandwich,other,none,680,360,40,14,0.5,100,2270,49,3,7,32,NA,NA,NA,Other
Arbys,Pecan Chicken Salad Flatbread,salad,salad,chicken,710,410,46,7,0.5,65,980,53,4,9,22,NA,NA,NA,Other
Arbys,Pecan Chicken Salad Sandwich,salad,salad,chicken,840,400,44,6,0.5,75,1210,81,6,20,33,10,8,25,Other
Arbys,2 piece Prime-Cut Chicken Tenders,tenders,chicken,none,240,100,11,1.5,0,30,640,19,1,0,16,0,0,2,Other
Arbys,3 piece Prime-Cut Chicken Tenders,tenders,chicken,none,360,150,17,2.5,0,45,950,28,2,0,23,0,4,2,Other
Arbys,5 piece Prime-Cut Chicken Tenders,tenders,chicken,none,600,250,28,4,0,75,1590,47,3,0,39,0,8,2,Other
Arbys,Reuben Sandwich,sandwich,beef,none,680,280,31,8,0.5,80,2420,62,4,5,37,6,20,35,Other
Arbys,Roast Beef Gyro,other,beef,other,550,260,29,7,1,60,1290,48,3,5,24,10,15,10,Other
